volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate
15497	83	14000	3000	31000	11	15497	1	-195622	-0.6208349862739808
21438	77	27000	42000	44000	19	21438	1	-54032	-0.12242327020940107
70124	68	48000	41000	19000	14	21438	0.30571558952712335	-114632	-0.29038108844778143
65740	84	48000	40000	9000	23	64416	0.9798600547611804	269067	0.22356243191975692
130361	65	10000	3000	5000	20	121421	0.9314212072629083	804265	0.4844622584284621
113131	84	20000	3000	16000	22	106451	0.94095340799604	421846	0.21562491693876676
94780	81	30000	5000	2000	14	94780	1	-241395	-0.15590819697542166
186186	82	37000	18000	37000	10	186186	1	-1399235	-0.43171675004898036
139374	80	24000	3000	10000	18	139374	1	232655	0.10312369657595906
182215	76	48000	45000	5000	24	139374	0.7648876327415416	232655	0.08089970078359578
24602	76	48000	45000	5000	24	24602	1	-37325	-0.1563396623147066
41552	81	30000	42000	44000	14	41552	1	-220793	-0.28215600603689867
52030	77	27000	5000	0	19	52030	1	162250	0.2012228395674174
46392	84	20000	10359	16000	22	44335	0.9556604586997758	141441	0.170184272745321
81779	76	48000	45000	5000	24	72691	0.8888712261093924	499766	0.38725819899513686
80014	84	20000	3000	16000	22	75289	0.9409478341290274	290579	0.20976904246433634
7008608	65	10000	3000	5000	20	74526	0.010633495267533866	496736	0.4931013499495221
197808	76	48000	45000	5000	24	74526	0.376759281727736	496736	0.15807666433085305
202219	87	14000	3000	31000	11	202219	1	-1624975	-0.4243437064551374
234564	81	30000	5000	2000	14	202219	0.8621058644975359	-1624975	-0.4022933300720252
15992	81	30000	5000	2000	14	15992	1	-40240	-0.2451147604892549
NaN	76	30000	42000	44000	24	7083	NaN	-58575	-0.23602962509267916
52284	81	48000	45000	5000	14	52284	1	-220542	-0.23650160104148124
89026	76	48000	45000	5000	24	79133	0.8888751600655989	553721	0.39633711641862834
115410	76	48000	45000	5000	24	102585	0.8888744476215232	740497	0.4124655905940754
116500	76	40767	45000	5000	24	102835	0.8827038626609442	742837	0.4115071112731157
95303	78	30000	42000	31000	11	95303	1	-515165	-0.33376460481322295
7221912	87	14000	3000	44000	14	95303	0.013196366834710808	-450292	-0.25519032220404936
132760	77	27000	5000	0	19	132760	1	469040	0.2306678469558375
215267	84	20000	3000	16000	22	132760	0.6167224888162143	469040	0.12113195258127223
18880	84	20000	3000	16000	22	18880	1	-39356	-0.20792916164754116
51220	77	27000	5000	4877	19	51220	1	153882	0.19252143756146017
58017	76	48000	45000	5000	24	51570	0.8888773980040333	319010	0.33751064606399805
64234	84	20000	3000	16000	22	60441	0.940950275555002	220913	0.1971692833867209
123725	76	30000	42000	44000	24	108808	0.8794342291371995	758600	0.3905713019163531
71755	87	14000	3000	44000	14	71755	1	-356493	-0.26582867471550553
150128	83	30000	5000	5000	14	150128	1	-494862	-0.1920560540918571
153470	81	48000	45000	2000	14	153470	1	-471842	-0.18144824186228234
187961	81	30000	5000	2000	14	187961	1	-551939	-0.17447689869706356
